SNGS;Нефть и газ;ПАО «Сургутнефтегаз» — российская нефтегазовая компания, занимающая одно из ведущих мест по добыче, переработке и сбыту нефти. На российской арене доля в добыче составляет 11%. На протяжении многих лет предприятие является лидером отрасли по разведочному, эксплуатационному бурению и вводу в эксплуатацию новых добывающих скважин. На предприятии создан первый в России полный цикл производства, переработки газа, выработки на его основе собственной электроэнергии, получения готового продукта.  Структурные подразделения предприятия осуществляют весь комплекс работ по разведке и разработке месторождений, по строительству производственных объектов, по обеспечению экологической безопасности производства и по автоматизации производственных процессов.  Компания ведет деятельность в Западной и Восточной Сибири. Несмотря на то, что большая доля выручки приходится на продажу сырой нефти, Сургутнефтегаз является одним из крупнейших игроков по реализации нефтепродуктов — важная составляющая увеличения добавленной стоимости для роста маржи. Приоритетным направлением компании для ее роста являются геологоразведка с целью увеличения ресурсной базы и создания продуктов с высокой маржинальностью. Ключевыми аспектами являются расширение ресурсной базы компании, увеличение экологических и эксплуатационных характеристик нефти. Акции ПАО «Сургутнефтегаз» торгуются на Московской бирже. По привилегированным акциям компания обязуется выплачивать 10% от чистой прибыли, а по обыкновенным — в зависимости от результатов собрания совета директоров и финансовых показателей компании.
GAZP;Нефть и газ;ПАО «Газпром» — глобальная энергетическая компания, располагает самыми богатыми в мире запасами природного газа. Доля компании в мировых запасах составляет 17%, в российских — 72%. Основные направления деятельности — геологоразведка, добыча, транспортировка, хранение, переработка и реализация газа, газового конденсата и нефти, реализация газа в качестве моторного топлива, а также производство и сбыт тепло- и электроэнергии. В структуру компании входят такие публичные эмитенты как Газпром нефть, Мосэнерго, ТГК-1, ОГК-2. Дивиденды: Компания стремится с 2021 г. выплачивать дивиденды в размере 50% чистой прибыли по МСФО с учетом «неденежных» корректировок. Если долговая нагрузка Группы превысит уровень 2,5 по коэффициенту «Чистый долг/EBITDA», совет директоров имеет возможность предложить размер дивидендов ниже целевых уровней.
MRKC;Электроэнергетика;ПАО «Россети Центр» (ранее «МРСК Центра») — ведущая электросетевая компания России. Компания ведет бизнес на территории 11 областей Центральной части России, обеспечивая электроэнергией население, крупные промышленные компании и предприятия транспорта и сельского хозяйства, социально значимые объекты, осуществляя технологическое присоединение новых потребителей к электрическим сетям. Компания была основана в 2004 г. в процессе реформирования российской электроэнергетики и разделения энергокомпаний по видам деятельности, их последующей региональной интеграции. Сегодня Россети Центр — одна из 14 таких межрегиональных сетевых компаний. Свою деятельность компания ведет в регионах с устойчивыми перспективами экономического роста, что является одним из конкурентных преимуществ.  
LKOH;Нефть и газ;ЛУКОЙЛ — одна из крупнейших вертикально интегрированных нефтегазовых компаний в мире, на долю которой приходится более 2% мировой добычи нефти и около 1% доказанных запасов углеводородов. Большая часть углеводородных запасов компании приходится на месторождения в Западной Сибири. ЛУКОЙЛ занимает одну из главных позиций на мировом рынке производства нефтепродуктов и нефтехимии, поставляя свою продукцию в 27 стран мира. Компания является полностью вертикально-интегрированной, контролируя всю производственную цепочку — от добычи нефти и газа до сбыта нефтепродуктов. 88% запасов и 83% добычи углеводородов приходится на Российскую Федерацию, при этом основная деятельность сосредоточена на территории 4-х федеральных округов — Северо-Западного, Приволжского, Уральского и Южного.
MTSS;Телекоммуникации;Публичное акционерное общество «Мобильные ТелеСистемы» (ПАО «МТС») — ведущая компания в России и странах СНГ по предоставлению услуг мобильной и фиксированной связи, передачи данных и доступа в интернет, кабельного и спутникового ТВ-вещания, провайдер цифровых сервисов, включая финтех и медиа в рамках экосистем и мобильных приложений, поставщик ИТ-решений в области коммуникационных платформ, интернета вещей, автоматизации, мониторинга, обработки данных, облачных вычислений и информационной безопасности. Предоставляя инновационные услуги и решения, МТС вносит значимый вклад в экономический рост и улучшение качества жизни десятков миллионов людей в странах присутствия. В России, Беларуси и Армении услугами мобильной связи Группы МТС пользуются более 88 миллионов абонентов. Крупнейшим акционером МТС является АФК Система.
AFKS;Потребительский сектор;АФК «Система» является одной из самых крупных российских публичных финансовых корпораций. Инвестиционный портфель АФК «Система» состоит преимущественно из российских компаний в различных секторах экономики, включая телекоммуникации, энергетику, розничную торговлю, высокие технологии, лесозаготовку и лесопереработку, фармацевтику, медицинские услуги, железнодорожные перевозки, сельское хозяйство, финансы, масс-медиа и туризм и пр.
NVTK;Нефть и газ;НОВАТЭК является одним из крупнейших независимых производителей природного газа в России. Компания занимается разведкой, добычей, переработкой и реализацией природного газа и жидких углеводородов и имеет двадцатилетний опыт работы в российской нефтегазовой отрасли. Компания позиционирует себя как «ведущий независимый производитель газа». Основные месторождения и лицензионные участки компании расположены в Ямало-Ненецком Автономном Округе (ЯНАО) в Западной Сибири. ЯНАО является крупнейшим в России регионом по добыче природного газа. Стратегия развития компании направлена на: - увеличение добычи углеводородов; - сохранение низкого уровня затрат; - оптимизацию каналов продаж; - расширение мощностей по производству СПГ; - наращивание ресурсной базы; - устойчивое развитие.
FLOT;Транспорт;Современный коммерческий флот (Совкомфлот) — российская судоходная компания, мировой лидер в сфере логистики для морской транспортировки энергоносителей и ведущий поставщик транспортных услуг для международных нефтегазовых компаний. Является главным поставщиком морских услуг для проекта в Арктике и имеет перспективное направление — транспортировка СПГ. Компания планирует выплачивать дивиденды на уровне 50% от чистой прибыли.
MTLR;Металлы и добыча;ПАО «Мечел», основанное в 2003 году, – одна из ведущих мировых компаний в горнодобывающей и металлургической отраслях. В компанию входят производственные предприятия в 11 регионах России, а также в Литве и Украине. «Мечел» объединяет более 20 промышленных предприятий. Это производители угля, железной руды, стали, проката, ферросплавов, тепловой и электрической энергии. Все предприятия работают в единой производственной цепочке: от добычи сырья до продукции с высокой добавленной стоимостью. В состав холдинга также входят три торговых порта, собственные транспортные операторы, сбытовые и сервисные сети. Продукция «Мечела» реализуется на российском и на зарубежных рынках. Дивиденды: Размер годовых дивидендов на одну обыкновенную акцию Общества не определен Уставом Общества. Начиная с 2013 года дивиденд по обыкновенным акциям не выплачивается в связи с высокой долговой нагрузкой.
SNGSP;Нефть и газ;ПАО «Сургутнефтегаз» — российская нефтегазовая компания, занимающая одно из ведущих мест по добыче, переработке и сбыту нефти. На российской арене доля в добыче составляет 11%. На протяжении многих лет предприятие является лидером отрасли по разведочному, эксплуатационному бурению и вводу в эксплуатацию новых добывающих скважин. На предприятии создан первый в России полный цикл производства, переработки газа, выработки на его основе собственной электроэнергии, получения готового продукта.  Структурные подразделения предприятия осуществляют весь комплекс работ по разведке и разработке месторождений, по строительству производственных объектов, по обеспечению экологической безопасности производства и по автоматизации производственных процессов.  Компания ведет деятельность в Западной и Восточной Сибири. Несмотря на то, что большая доля выручки приходится на продажу сырой нефти, Сургутнефтегаз является одним из крупнейших игроков по реализации нефтепродуктов — важная составляющая увеличения добавленной стоимости для роста маржи. Приоритетным направлением компании для ее роста являются геологоразведка с целью увеличения ресурсной базы и создания продуктов с высокой маржинальностью. Ключевыми аспектами являются расширение ресурсной базы компании, увеличение экологических и эксплуатационных характеристик нефти. Акции ПАО «Сургутнефтегаз» торгуются на Московской бирже. По привилегированным акциям компания обязуется выплачивать 10% от чистой прибыли, а по обыкновенным — в зависимости от результатов собрания совета директоров и финансовых показателей компании.
