termins;definition;source
Актив;(1) в бухгалтерском учете это часть бухгалтерского баланса, характеризующая состав и стоимость имущества, которым владеет предприятие на данный момент. Другими словами, это те ресурсы, которые принадлежат предприятию: здания, оборудование, материалы, промежуточная и готовая продукция и другие. (2) согласно Р. Кийосаки, это то, что приносит доход.;empirix.ru
Акция;(англ. share) ценная бумага, относящаяся к определенной компании, которая позволяет получать дивиденды владельцу данной акции.;empirix.ru
Акционер;владелец акций акционерного общества. Акционер является совладельцем акционерного общества и имеет право на получение дивидендов (прибыли от результатов его деятельности).;empirix.ru
Амортизация;постепенное снижение ценности основных средств предприятия по причине их изнашивания. Другими словами, физический или моральный износ имущества, который выражен в деньгах.;empirix.ru
Анализ графический;способ анализа движения цены и прогнозирования с применением графических фигур на графике, таких как “треугольник”, “вымпел”, “флаг” и т.д.;empirix.ru
Анализ технический;способ анализа движений цены и прогнозирования с помощью технических индикаторов.;empirix.ru
Анализ фундаментальный;способ анализа движений цены и прогнозирования путем рассмотрения макроэкономических показателей стран, состояния их экономик.;empirix.ru
Андеррайтер;организация-посредник при осуществлении IPO (Initial Public Offering – первичное публичное предложение ценных бумаг на бирже), осуществляющая размещение ценных бумаг на бирже на конкретных условиях и за заранее обговоренное вознаграждение.;empirix.ru
Аск;(англ. ask– запрашивать цену) цена в книге ордеров, по которой трейдер может открыть сделку на покупку.;empirix.ru
Алготрейдер;трейдер, использующий при работе алгоритмические и роботизированные торговые системы.;empirix.ru
Алгоритмическая торговля;метод работы на финансовых рынках с применением алгоритмов — автоматических роботизированных программ, которые способны полностью или частично принимать торговые решения.;empirix.ru
Аффилиация;присоединение компании к другой организации, которая с этого момента выступает для первой в качестве материнской. При торговле на финансовых рынках аффилиация может рассматриваться в рамках процессов слияний и поглощений (M&A, Mergers and Acquisitions), которые могут вызывать изменения котировок акций по причине передела рынка.;empirix.ru
Базисный пункт;значение, равное одной сотой доле процента, или 0,01%. Базисные пункты используются в новостных сводках об изменении показателей, измеряемых в процентах. К примеру, если ключевая процентная ставка в экономике США была 1,5% и потом снизилась на 25 базисных пунктов, то ее новое значение равно 1,25%.;empirix.ru
Базовая инфляция;показатель инфляции, отражающий изменение цен на товары, которые не подвержены значительным колебаниям цены. Из расчета исключаются товары, для которых характерна существенная ценовая динамика, например, энергоносители или продукты питания.;empirix.ru
Баланс государственного бюджета;соотношение трат государства к поступлениям в его казну в форме налогов. Дефицит бюджета означает, что правительство тратит больше, чем получает (следовательно, берет кредиты или расходует сбережения). Профицит бюджета означает, что государство зарабатывает больше, чем тратит.;empirix.ru
Баррель (англ. barrel – бочка);единица измерения объема нефти, равная 42 галлонам или примерно 159 литрам. Баррель, используемый для измерения других сыпучих веществ или жидкостей может отличаться по объему от «нефтяного» барреля: стандартный баррель в США вмещает в себя 31,5 галлона или около 119 литров; английский баррель вмещает в себя 36 английских галлонов, что эквивалентно 163,7 литрам.;empirix.ru
Бай;(англ. buy) сделка на покупку.;empirix.ru
Бай-лимит;(англ. buy-limit) отложенный ордер на покупку, находящийся ниже рыночных цен.;empirix.ru
Бай-стоп;(англ. buy-stop) отложенный ордер на покупку, находящийся выше рыночных цен.;empirix.ru
Бар;(англ. bar) вертикальный элемент графика цен, отражающий 4 цены (открытия, максимума, минимума, закрытия) за определенный временной промежуток (минута, час, день и т.п.).;empirix.ru
Бенчмарк;(англ. benchmark) показатель, к которому стремятся инвестиционные стратегии, управляющие или фонды. Эталонный индекс или инструмент, который показывает составляющую экономики страны. К примеру, в Америке бенчмарком является индекс S&P 500, в России — индексы RTS и ММВБ.;empirix.ru
Бид;(англ. bid — предлагать цену) цена в книге ордеров, по которой трейдер может открыть сделку на продажу.;empirix.ru
Биржа (англ. exchange);централизованный финансовый рынок, где торгуются ценные бумаги (акции), облигации, деривативы и другие финансовые инструменты.;empirix.ru
Биржевой курс (котировка);конкретная цена, по которой торгуется ценная бумага на конкретной бирже в конкретный момент времени. Биржевой курс в настоящий момент отражает цену, за которую можно купить или продать ценную бумагу прямо сейчас.;empirix.ru
Брокер;(англ. broker— посредник) институциональный и регулируемый посредник в торгах финансовыми инструментами.;empirix.ru
Брокераж;осуществление сделок купли-продажи с ценными бумагами на бирже по поручению их настоящего или будущего владельца. Как правило, при передаче ценных бумаг на брокераж оформляется доверенность.;empirix.ru
Брокерская ассоциация;объединение брокеров-членов биржи, которое официально зарегистрировано на бирже с целью совместного выполнения приказов клиентов.;empirix.ru
Бухгалтерский баланс;представленный в табличной форме свод информации о стоимости имущества и объеме обязательств компании. Бухгалтерский баланс является формой бухгалтерской отчетности, которая дает представление о финансовом состоянии компании: успешности и устойчивости бизнеса, объеме долгового бремени, вероятности банкротства. Как правило, бухгалтерский баланс составляется на конец квартала или года.;empirix.ru
Бык;(англ. bull) участник рынка, ожидающий рост цены. Бычий рынок — растущий рынок. См. также: Медведь.;empirix.ru
Бэктест;(англ. backtest) тестирование торговых систем на исторических данных.;empirix.ru
Валюта;(англ. currency) денежная единица страны.;empirix.ru
Валюта базовая;в валютной паре базовой валютой является первая, т.е. стоит в числителе.;empirix.ru
Валюта котирования;в валютной паре валютой котирования является вторая, т.е. стоит в знаменателе.;empirix.ru
Валютная пара;финансовый инструмент, в котором стоимость одной валюты выражается в единицах второй.;empirix.ru
Валютный своп;(англ.currency swap)финансовая операция, в которой две стороны соглашаются обменять определенную сумму валюты по текущему курсу, а затем обратно обменять эту сумму валюты по заранее оговоренному будущему курсу. Валютные свопы являются деривативными инструментами и активно используются на финансовых рынках для управления валютными рисками.;empirix.ru
ВВП (валовый внутренний продукт);представляет собой общую стоимость всех конечных товаров и услуг, произведенных в стране. ВВП является наиболее часто используемым параметром для обозначения размера экономики. Часто другие экономические показатели выражаются через процент от ВВП (например, государственный долг), чтобы дать представление о том, большие это или малые величины в контексте экономики всей страны.;empirix.ru
Вексель;ценная бумага, обязующая лицо уплатить другому лицу конкретную сумму в указанный срок. Вексель может использоваться как платежное и расчетное средство, а также выступать средством получения кредита. Вексель является ценной бумагой, что позволяет осуществлять с ним операции купли-продажи на фондовом рынке.;empirix.ru
Вице-брокер;помощник брокера на бирже.;empirix.ru
Волатильность;(англ. volatility, от лат.volare — летать), показатель скорости движения цены. Как правило, измеряется визуально или при помощи индикаторов, например Average True Range (ATR), Stardard Deviation.;empirix.ru
Выручка от иностранной валюты;доход, который получает инвестор от вложений в иностранную валюту; помимо изменений курса отображает и проценты, которые получает инвестор сверх или ниже того, сколько он мог бы получить в своей стране.;empirix.ru
Высокочастотный трейдинг;(англ. high frequency trading — HFT) вид трейдинга, когда сделки могут открываться и закрываться в течение долей секунд. Для HFT применяются торговые роботы и алгоритмы, а компании, которые занимаются HFT, располагают свои офисы как можно ближе к серверам брокеров и дилеров, чтобы погрешность исполнения была минимальной.;empirix.ru
Гэп;(англ. gap) ценовой разрыв, случающийся, как правило, на валютном рынке и связанный с отсутствием торгов в субботу и воскресенье либо с выходом значимых новостей. Примеры гэпов на дневном графике и в увеличении на часовом.;empirix.ru
Глубина рынка;объем рынка по выбранному активу по конкретной цене в конкретный момент времени. Глубина рынка отражает актуальное состояние спроса и предложения и показывает, размещение сделки какого объема может изменить цену.;empirix.ru
Голубые фишки (англ. blue chips);ценные бумаги крупных, ликвидных и надежных компаний, имеющих стабильные показатели доходности. Сам термин пришел на финансовые рынки из покера, в котором голубой является цветом самой дорогой фишки.;empirix.ru
Гудвилл;форма нематериальных активов компании, которые не поддаются материальному измерению. В гудвилл могут входить: деловая репутация компании; наработанные связи с потребителями и поставщиками; доступ на перспективные рынки. Гудвилл может показывать неучтенную в материальном выражении ценность компании, влияющую на стоимость относящейся к ней ценных бумаг.;empirix.ru
Двойная вершина;фигура графического анализа, формирующаяся, когда за определенный промежуток времени цена дважды достигала некоторого верхнего экстремума (крайней точки) и затем опускалась на более низкий уровень. Двойная вершина является медвежьей фигурой и сигнализирует о зарождении нисходящего движения.;empirix.ru
Двойное дно;фигура графического анализа, формирующаяся, когда за определенный промежуток времени цена дважды достигала некоторого нижнего экстремума (крайней точки) и затем поднималась на более высокий уровень. Двойное дно является бычьей фигурой и сигнализирует о зарождении восходящего движения.;empirix.ru
Девальвация валюты;понижение реального курса национальной валюты по отношению к другим валютам. К примеру, изменение курса USDNOK с 9 норвежских крон за американский доллар до 12 крон является девальвацией норвежской кроны к доллару США. Девальвация приводит к относительному удорожанию импорта и повышению доходов экспортеров, выраженных в национальной валюте.;empirix.ru
Делеверидж;процесс сокращения долгового бремени. Обычно происходит на последних стадиях долгового цикла.;empirix.ru
Денежный агрегат М0;показатель, выражающий общую сумму денег, эмитированных в определенной валюте; как правило, данный агрегат отражает количество наличных денег, находящихся в обращении в форме банкнот и монет, а также размер резервов центрального банка.;empirix.ru
Депозит;(англ. deposit) сумма счета, на которой трейдер ведет свою торговлю финансовыми инструментами.;empirix.ru
Депрессия;стадия долгового кризиса, во время которой обычно происходит самоусиливающееся падение экономического роста и цены активов.;empirix.ru
Дериватив;(англ. derivative) производный финансовый инструмент, например фьючерс, форвард или опцион.;empirix.ru
Децентрализованный рынок;рынок, на котором торги проходят не в одном месте физически, а на разных торговых площадках.;empirix.ru
Дефляция;снижение общего уровня цен или повышение реальной стоимости денег. Причинами дефляции могут быть: снижение количества денег в обращении; падение совокупного спроса на товары и услуги при неснижающемся предложении; увеличение совокупного предложения при невозрастающем спросе; снижение стоимости товаров, вызванное повышением производительности; снижение цен на импортные товары и услуги по причине ревальвации национальной валюты. Считается, что дефляция вредит экономике, так как падение цен уменьшает доходы предпринимателей и дальнейшие стимулы экономического развития. Обратным явлением для дефляции является инфляция.;empirix.ru
Диверсификация;распределения рисков по рынкам, инструментам, стратегиям.;empirix.ru
Дивергенция;(англ. divergence — расхождение) происходит при росте цены и движении индикатора вниз.;empirix.ru
Дивиденд;часть прибыли акционерного общества, которая подлежит распределению между владельцами ценных бумаг пропорционально их долям в компании. Дивиденды являются одной из двух ключевых инвестиционных причин приобретения акций публичных компаний (второй причиной является рост цены акции во времени). Дивиденд выплачивается раз в период (квартал, год), который заранее определяется компанией. Дивиденды могут выплачиваться как в денежной форме, так и акциями компании.;empirix.ru
Дилер;(англ. dealer) участник рынка, выступающий контрагентом в сделке с клиентами. Среди трейдеров ДЦ часто ласково именуется “кухня”.;empirix.ru
Дилинговый центр, ДЦ;см. Дилер.;empirix.ru
Дискреционный анализ;(англ. discretionary) еще называют интуитивным трейдингом. Способ анализа движений цены с помощью логики, без использования жестких правил и технических индикаторов.;empirix.ru
Дисперсия;статистическая мера разброса или изменчивости значений в каком-то наборе данных. Она предоставляет информацию о том, насколько данные распределены вокруг среднего значения (например, среднего значения цены или объема). Чем больше дисперсия, тем больше разброс между отдельными значениями данных, а чем меньше дисперсия, тем ближе значения к среднему.;empirix.ru
Долгосрочная процентная ставка;процентная ставка по долгосрочным обязательствам.;empirix.ru
Долг в иностранной валюте;долг, номинированный в валюте, отличной от валюты страны-заемщика.;empirix.ru
Доходность ценной бумаги;отношение дохода по ценной бумаге к ее рыночной стоимости, рассчитанное за определенный период. Этот показатель используется при оценке инвестиционной привлекательности ценной бумаги: как правило, чем выше доходность, тем привлекательнее ценная бумага, при прочих равных условиях.;empirix.ru
Дэйтрейдер;(англ. daytrader)трейдер, который совершает сделки, как правило, внутри дня, не перенося их на следующую торговую сессию или день.;empirix.ru
Еврооблигация (англ. Eurobond);облигация, которая выпущена в валюте, являющейся иностранной для эмитента. К примеру, если зарегистрированная в России компания выпускает облигации в американских долларах или вьетнамских донгах, то они называются еврооблигациями. Приставка «евро» сегодня не несет смысловой нагрузки (не относится к валюте еврозоны), кроме как напоминает, что первые еврооблигации появились в Европе, отчего их и стали называть таким образом.;empirix.ru
Емкость рынка (англ. market capacity);на финансовых рынках используется редко и в основном выступает в качестве синонима термина «глубина рынка».;empirix.ru
ЕЦБ;Европейский центральный банк; является центральным банком еврозоны — экономического валютного союза, действующего в рамках ЕС и объединяющего входящие в него страны, официальной валютой которых является евро.;empirix.ru
Зеркальный уровень;уровень поддержки, после пробития которого становится уровнем сопротивления, или наоборот.;empirix.ru
Инвестор;(англ. investor) участник рынка, ведущий долгосрочную торговлю.;empirix.ru
Инвестиции;долгосрочные сделки (от года и выше) на финансовых рынках, рынке недвижимости или на любой другой площадке. Инвестиции делятся на активные и пассивные. Подробнее про каждый подход — в статье Пассивные инвестиции — удача или терпение?;empirix.ru
Инвестиционный банк;финансовая организация, главный фокус которой предоставлять компаниям, политическим организациям, крупным и частным инвесторам доступ к инвестиционным продуктам на фондовых биржах.;empirix.ru
Индекс;показатель среднего значения финансовых инструментов. Так, например, индекс S&P 500 включает в себя 500 крупнейших компаний Америки (тем самым показывая силу или слабость американского фондового рынка), а индекс американского доллара — среднее значение доллара против основных валют.;empirix.ru
Индикатор технический;математическая формула, в которую подставляются исторические цены и/или объемы, имеющая вид линий, гистограмм, точек и др., располагаемых на графике цены. Технические индикаторы указывают трейдеру направления рынка, точки входа, измеряют волатильность и др.;empirix.ru
Инсайдерская торговля;это практика покупки или продажи ценных бумаг, осуществляемая лицами, которые имеют конфиденциальную информацию о компании, которая может значительно влиять на цену этих ценных бумаг.Инсайдерская торговля считается незаконной и недобросовестной, так как основана на использовании привилегированной информации для получения выгоды на рынке. Она нарушает нормы рыночной справедливости и создает неравные условия для остальных участников рынка.Законодательство об инсайдерской торговле предусматривает наказания для нарушителей, включая штрафы, уголовное преследование и потерю права заниматься торговлей на финансовых рынках.;empirix.ru
Инфляция;повышение общего уровня цен или снижение реальной стоимости денег. Причинами инфляции могут быть: повышение количества денег в обращении; рост совокупного спроса на товары и услуги при невозрастающем предложении; сокращение совокупного предложения при неснижающемся спросе; рост цен на импортные товары и услуги по причине девальвации национальной валюты. Считается, что инфляция в 1,5-2% в год характерна для «здоровой» экономики. Более низкая инфляция ограничивает экономические стимулы к развитию предпринимательства. Более высокая инфляция способствует существенному обесценению денег. Обратным явлением для инфляции является дефляция.;empirix.ru
Издержки;плата за торговлю на финансовых рынках. К ним относятся комиссии, спреды, свопы, налоги.;empirix.ru
Исторические данные;информация о прошлых ценах, объемах торговли и других рыночных параметрах финансовых инструментов, таких как акции, валюты или сырьевые товары. Они являются записями о прошлых торговых событиях и движениях рынка, которые могут быть использованы трейдерами и инвесторами для анализа и принятия решений.Такие данные используются трейдерами для различных целей, включая технический анализ, разработку и тестирование торговых стратегий, прогнозирование ценовых движений и принятие решений о входе или выходе из рынка. Они помогают трейдерам понять прошлые рыночные тренды и поведение цен, чтобы принять обоснованные решения на основе исторического контекста.;empirix.ru
