SNGS;Сургнфгз;29,995;0,54 %;29,995;29,995;29,995;29,99;12 429 928;09:59:47
GAZP;ГАЗПРОМ ао;125;0,03 %;125;125;125;124,97;8 853 750;09:59:54
MRKC;РоссЦентр;0,5312;-10 %;0,5312;0,5312;0,5312;0,5312;7 897 882;09:59:54
LKOH;ЛУКОЙЛ;7 222;-0,12 %;7 222;7 222;7 222;7 222;4 795 408;09:59:50
MTSS;МТС-ао;292;-0,07 %;292;292;292;292;4 461 760;09:59:44
AFKS;Система ао;23,5;-0,09 %;23,5;23,5;23,5;23,501;4 432 100;09:59:41
NVTK;Новатэк ао;1 102,4;0,09 %;1 102,4;1 102,4;1 102,4;1 102,4;4 168 174;09:59:42
FLOT;Совкомфлот;125,07;0,22 %;125,07;125,07;125,07;125,07;2 982 920;09:59:51
MTLR;Мечел ао;210,53;-0,41 %;210,53;210,53;210,53;210,53;2 534 150;09:59:54
SNGSP;Сургнфгз-п;67,46;0 %;67,46;67,46;67,46;67,46;2 050 784;09:59:52
TATN;Татнфт 3ао;702,8;-0,18 %;702,8;702,8;702,8;702,8;1 324 075;09:59:50
VTBR;ВТБ ао;0,02037;0,02 %;0,02037;0,02037;0,02037;0,02037;1 246 440;09:59:53
PLZL;Полюс;12 415;0,52 %;12 415;12 415;12 415;12 415;1 216 670;09:59:38
EUTR;ЕвроТранс;166;-0,36 %;166;166;166;166;1 023 058;09:59:42
LPSB;ЛЭСК ао;97,7;7,72 %;97,7;97,7;97,7;97,7;986 770;09:59:54
FESH;ДВМП ао;70,21;-0,69 %;70,21;70,21;70,21;70,21;939 410;09:59:41
ROSN;Роснефть;574,25;0,06 %;574,25;574,25;574,25;574,25;678 764;09:59:39
MDMG;MDMG-ао;826,2;0 %;826,2;826,2;826,2;826,2;559 337;09:59:52
FEES;Россети;0,1046;-0,08 %;0,1046;0,1046;0,1046;0,1046;525 092;09:59:53
ALRS;АЛРОСА ао;70,36;-0,09 %;70,36;70,36;70,36;70,36;512 221;09:59:36
MGNT;Магнит ао;6 529;-0,02 %;6 529;6 529;6 529;6 529;489 675;09:59:51
SIBN;Газпрнефть;695;-0,01 %;695;695;695;695;470 515;09:59:48
SOFL;iСофтлайн;148,26;0,26 %;148,26;148,26;148,26;148,26;465 536;09:59:48
CHMF;СевСт-ао;1 561;-0,12 %;1 561;1 561;1 561;1 561;415 226;09:59:46
NLMK;НЛМК ао;176,6;0,17 %;176,6;176,6;176,6;176,6;374 392;09:59:52
SVAV;СОЛЛЕРС;957;-0,26 %;957;957;957;957;363 660;09:59:38
LEAS;Европлан;901,5;0,06 %;901,5;901,5;901,5;901,5;359 699;09:59:52
SFIN;ЭсЭфАй ао;1 303;-0,58 %;1 303;1 303;1 303;1 303;329 659;09:59:45
AFLT;Аэрофлот;60,7;-0,34 %;60,7;60,7;60,7;60,7;325 352;09:59:44
MSRS;РСетиМР ао;1,296;-0,31 %;1,296;1,296;1,296;1,296;320 112;09:59:52
LENT;Лента ао;1 132;-0,75 %;1 132;1 132;1 132;1 132;306 772;09:59:39
SMLT;Самолет ао;3 029,5;0 %;3 029,5;3 029,5;3 029,5;3 029,5;275 685;09:59:45
APTK;Аптеки36и6;12,02;-1,52 %;12,02;12,02;12,02;12,02;251 458;09:59:53
BSPB;БСП ао;378,32;0 %;378,32;378,32;378,32;378,32;249 691;09:59:54
TRMK;ТМК ао;192,68;0 %;192,68;192,68;192,68;192,68;248 557;09:59:39
LSNGP;РСетиЛЭ-п;211;-0,28 %;211;211;211;211;240 540;09:59:45
HNFG;ХЭНДЕРСОН;709,5;-0,39 %;709,5;709,5;709,5;709,5;224 912;09:59:36
MBNK;МТС Банк;2 099;-0,52 %;2 099;2 099;2 099;2 099;218 296;09:59:50
SBERP;Сбербанк-п;328,4;0 %;328,4;328,4;328,4;328,4;200 324;09:59:47
KGKC;КурганГКао;55;4,56 %;55;55;55;55;195 250;09:59:51
DELI;Каршеринг;293,5;0,14 %;293,5;293,5;293,5;293,5;140 293;09:59:38
WUSH;iВУШХолднг;289;0,17 %;289;289;289;289;137 564;09:59:54
HYDR;РусГидро;0,6539;0,55 %;0,6539;0,6539;0,6539;0,6531;136 665;09:59:47
SPBE;СПБ Биржа;131;-0,53 %;131;131;131;131;104 800;09:59:44
KMAZ;КАМАЗ;156,5;-0,13 %;156,5;156,5;156,5;156,5;101 725;09:59:50
MAGN;ММК;54,25;-0,02 %;54,25;54,25;54,25;54,25;98 193;09:59:53
ABRD;АбрауДюрсо;266;-0,3 %;266;266;266;266;93 100;09:59:48
VGSBP;ВолгЭнСб-п;10,1;-0,59 %;10,1;10,1;10,1;10,1;90 900;09:59:31
SGZH;Сегежа;2,905;-0,21 %;2,905;2,905;2,905;2,905;87 150;09:59:52
SVCB;Совкомбанк;16,435;0 %;16,435;16,435;16,435;16,435;78 888;
RTKM;Ростел -ао;87,02;0,01 %;87,02;87,02;87,02;87,02;77 448;09:59:53
IRAO;ИнтерРАОао;3,94;0,1 %;3,94;3,94;3,94;3,94;73 284;09:59:53
OGKB;ОГК-2 ао;0,4736;-0,36 %;0,4736;0,4736;0,4736;0,4736;69 146;09:59:53
RUSI;ИКРУСС-ИНВ;101,4;1,4 %;101,4;101,4;101,4;101,4;66 924;09:59:53
POLY;Solidcore;204,2;-0,34 %;204,2;204,2;204,2;204,2;62 281;09:59:48
AQUA;ИНАРКТИКА;836;-0,12 %;836;836;836;836;61 864;09:59:45
TGKN;ТГК-14;0,0111;-0,45 %;0,0111;0,0111;0,0111;0,0111;55 500;09:59:46
GTRK;ГТМ ао;368,5;0,22 %;368,5;368,5;368,5;368,5;55 275;09:59:53
MRKP;РСетиЦП ао;0,2945;-0,27 %;0,2945;0,2945;0,2945;0,2945;50 065;09:59:47
DIOD;ЗаводДИОД;15;-0,2 %;15;15;15;15;43 500;09:59:42
NKNC;НКНХ ао;93,7;-0,95 %;93,7;93,7;93,7;93,7;37 480;09:59:52
GCHE;ЧеркизГ-ао;4 640;0,6 %;4 640;4 640;4 640;4 640;37 120;09:59:53
RUAL;РУСАЛ ао;42,18;-0,05 %;42,18;42,18;42,18;42,2;29 104;09:59:52
BRZL;БурЗолото;2 141;0 %;2 141;2 141;2 141;2 141;27 833;09:59:44
MRKS;РсетСиб ао;0,6735;-0,3 %;0,6735;0,6735;0,6735;0,6735;26 940;09:59:52
